,country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,region
0,Afghanistan,603,603,603,603,603,603,603,603,603,603,604,604,604,604,604,604,604,604,604,604,604,607,609,611,613,615,617,619,621,623,625,627,630,632,634,636,638,640,643,645,647,649,651,654,656,658,660,663,665,667,669,672,674,676,678,681,683,685,688,690,692,695,697,699,702,704,707,709,711,714,716,719,721,724,726,729,731,734,736,739,741,744,746,749,751,754,756,759,761,764,767,769,772,774,777,780,782,785,788,790,793,796,798,801,804,807,809,812,815,818,820,823,826,829,833,837,841,845,849,853,857,863,868,874,880,885,891,897,903,909,915,921,927,933,939,945,951,957,963,969,976,982,988,995,1000,1010,1010,1020,1030,1030,1040,1060,1070,1120,1130,1130,1160,1140,1180,1190,1210,1200,1200,1190,1190,1190,1180,1180,1200,1190,1180,1100,1050,1150,1180,1210,1240,1130,1190,1160,1170,1300,1410,1470,1440,1400,1500,1240,1120,1100,1040,1030,950,818,732,881,904,930,956,982,972,871,1060,1100,1060,1140,1160,1280,1300,1530,1610,1660,1840,1810,1780,1750,1740,1800,1870,1950,1970,2000,2020,2060,2090,2130,2170,2220,2260,2310,2360,2420,2470,2520,2580,2640,2700,2760,2820,2880,2940,Asia (Central)
7,Armenia,514,514,514,514,514,514,514,514,514,514,514,515,515,515,515,515,515,515,515,515,515,517,519,521,523,525,527,529,531,533,535,538,540,542,544,546,548,550,552,554,556,559,561,563,565,567,569,572,574,576,578,581,583,585,587,590,592,594,596,599,601,603,606,608,610,613,615,617,620,622,625,627,629,632,634,637,639,642,644,647,649,652,654,657,659,662,635,741,711,660,656,599,655,740,840,776,853,837,857,908,886,906,983,913,1010,890,849,814,887,919,979,902,973,1020,972,998,967,806,671,560,531,504,547,593,642,696,755,819,887,962,1000,1010,991,1020,1120,1270,1360,1460,1460,1510,1440,1410,1380,1350,1320,1300,1270,1410,1580,1720,1860,1840,1920,1960,2020,2140,2300,2300,2420,2350,2520,2610,2640,2540,2830,2950,3060,3150,3300,3320,3540,3590,3580,3840,3880,3820,3920,3940,3970,3880,3820,3790,3820,3870,3850,3810,3900,3880,3890,3900,3740,3340,1980,1840,1990,2170,2340,2440,2640,2740,2920,3220,3670,4210,4670,5360,6110,7010,7560,6530,6700,7020,7510,7730,7970,8180,8170,8410,8660,8930,9200,9460,9730,10000,10300,10500,10800,11000,11300,11500,11800,12000,12300,12600,12800,13100,13400,13700,14000,14300,14700,Asia (Central)
10,Azerbaijan,775,775,775,775,775,776,776,776,776,776,777,777,777,777,777,778,778,778,778,778,779,783,787,792,796,800,805,809,814,818,823,827,832,837,841,846,851,855,860,865,870,874,879,884,889,894,899,904,909,914,919,924,929,934,939,945,950,955,960,966,971,976,982,987,993,998,1000,1010,1020,1020,1030,1030,1040,1040,1050,1060,1060,1070,1070,1080,1080,1090,1100,1100,1110,1120,1070,1250,1200,1120,1110,1020,1110,1260,1430,1320,1460,1430,1470,1560,1520,1560,1690,1580,1740,1540,1470,1410,1540,1600,1700,1570,1700,1780,1700,1750,1550,1360,834,718,721,660,767,884,1120,1400,1580,1640,1730,1750,1830,1850,1820,1890,2060,2360,2530,2740,2730,2840,2730,2680,2630,2580,2540,2490,2440,2720,3070,3360,3640,3600,3760,3860,3990,4250,4580,4600,4860,4720,5080,5280,5350,5160,5750,6010,6240,6460,6780,6820,7280,7420,7400,7950,8080,7990,8260,8350,8460,8320,8230,8200,8310,8470,8470,8440,8670,8680,8760,8810,8510,8320,6350,4810,3810,3320,3330,3490,3800,4050,4460,4860,5340,5890,6440,8050,10700,13200,14400,15400,16000,15800,15900,16600,16700,16700,16000,16200,16600,16900,17000,17200,17400,17600,17900,18200,18500,18900,19300,19700,20200,20600,21100,21500,22000,22500,23000,23500,24000,24600,25100,Asia (Central)
19,Bhutan,629,629,630,630,630,630,630,630,630,630,630,630,631,631,631,631,631,631,631,631,631,633,634,635,636,638,639,640,641,643,644,645,646,648,649,650,651,653,654,655,657,658,659,661,662,663,664,666,667,668,670,671,672,674,675,676,678,679,680,682,683,684,686,687,688,690,691,692,694,695,697,698,699,701,702,703,705,706,708,709,710,712,713,715,716,717,719,720,722,723,724,726,727,729,730,732,733,735,736,737,739,740,742,743,745,746,748,749,751,752,754,755,757,758,759,761,762,764,765,767,769,771,774,776,779,782,784,787,789,792,795,797,800,803,805,808,811,813,816,818,821,824,827,829,832,835,837,840,843,845,848,858,868,878,888,898,908,919,929,940,951,961,972,983,995,1010,1020,1030,1040,1050,1060,1060,1030,1010,1020,955,1010,1050,1090,1100,1130,1220,1220,1290,1340,1380,1530,1940,2000,2100,2320,2320,2450,2540,2700,2900,3030,3140,3240,3400,3540,3720,4010,4200,4330,4520,4720,5450,5590,5850,6420,6810,7030,7070,7370,7740,8110,8870,9930,10600,11500,12300,13200,14000,14800,15400,15900,16400,16900,17300,17700,18000,18500,18900,19300,19700,20100,20600,21000,21500,22000,Asia (Central)
62,Georgia,543,543,543,543,543,543,543,543,544,544,544,544,544,544,544,544,544,544,544,544,545,547,550,552,555,558,560,563,566,568,571,574,576,579,582,585,587,590,593,596,599,602,604,607,610,613,616,619,622,625,628,631,634,637,640,643,646,649,652,655,658,661,665,668,671,674,677,681,684,687,690,694,697,700,704,707,710,714,717,720,724,727,731,734,738,741,712,831,798,741,737,674,737,834,947,875,962,945,969,1030,1000,1030,1110,1040,1140,1010,965,926,1010,1050,1120,1030,1110,1160,1110,1140,1140,890,695,543,520,499,560,629,706,793,890,999,1120,1140,1190,1200,1180,1230,1340,1530,1640,1770,1770,1840,1760,1730,1700,1670,1640,1610,1580,1760,1980,2170,2350,2320,2430,2490,2570,2740,2950,2960,3130,3040,3270,3400,3440,3320,3700,3870,4120,4340,4500,4680,5210,5300,5410,5720,6180,6600,6970,7420,7930,8470,8810,9220,9350,9690,10100,10600,9620,9660,10100,9360,8010,6270,3430,2410,2180,2300,2620,2950,3070,3180,3260,3450,3660,4120,4420,4900,5430,6180,6410,6260,6730,7320,7880,8250,8750,9020,9270,9640,10100,10600,11000,11500,11900,12400,12800,13100,13500,13800,14200,14500,14800,15100,15500,15800,16200,16500,16900,17300,17700,18000,18400,Asia (Central)
77,Iran,976,977,977,977,977,977,977,978,978,978,978,978,978,978,979,979,979,979,979,979,980,981,983,985,987,989,991,993,994,996,998,1000,1000,1000,1010,1010,1010,1010,1010,1020,1020,1020,1020,1020,1020,1030,1030,1030,1030,1040,1040,1040,1040,1040,1040,1050,1050,1050,1050,1050,1060,1060,1060,1060,1060,1070,1070,1070,1070,1080,1080,1080,1090,1100,1110,1110,1120,1130,1140,1140,1150,1160,1170,1180,1180,1190,1200,1210,1220,1230,1230,1240,1250,1260,1270,1280,1290,1300,1300,1310,1320,1330,1340,1350,1360,1370,1380,1390,1400,1410,1420,1430,1440,1460,1500,1530,1570,1610,1650,1690,1730,1790,1840,1900,1960,2020,2080,2150,2210,2280,2340,2420,2490,2560,2640,2710,2790,2870,2950,3040,3120,3210,3300,3390,3490,3580,3680,3780,3890,3990,4100,4010,3930,3850,3770,3690,3930,4380,4780,5060,5420,5740,5710,6190,6470,7080,7600,8240,9250,10200,11000,12100,13700,14500,15100,15500,17600,17000,14600,13000,11000,10300,11400,12400,12000,11800,10300,9950,9200,9350,10200,11200,11400,11100,10800,10900,11400,11300,11400,11400,11900,12000,12800,13700,14100,14600,15200,16400,16400,16600,17400,17900,16500,16000,16500,16000,16300,16800,17400,18000,18500,19100,19600,20100,20700,21200,21700,22200,22700,23200,23700,24200,24800,25300,25900,26400,27000,27600,28200,28900,29500,Asia (Central)
85,Kazakhstan,1140,1140,1140,1140,1140,1150,1150,1150,1150,1150,1150,1160,1160,1160,1160,1160,1160,1160,1160,1170,1170,1180,1180,1190,1200,1210,1210,1220,1230,1240,1240,1250,1260,1270,1280,1290,1290,1300,1310,1320,1330,1340,1340,1350,1360,1370,1380,1390,1400,1410,1420,1430,1440,1440,1450,1460,1470,1480,1490,1500,1510,1520,1530,1540,1550,1560,1570,1580,1590,1600,1610,1620,1630,1640,1660,1660,1680,1690,1700,1710,1720,1730,1740,1750,1760,1780,1710,2000,1920,1790,1780,1630,1790,2020,2300,2130,2350,2310,2370,2510,2460,2520,2740,2550,2820,2500,2390,2300,2510,2600,2780,2570,2780,2920,2780,2870,2550,2240,1370,1180,1190,1090,1260,1460,1850,2310,2600,2710,2850,2890,3020,3050,3010,3120,3420,3910,4180,4530,4520,4710,4520,4440,4360,4280,4200,4130,4060,4510,5100,5580,6050,5980,6260,6430,6640,7080,7630,7660,8100,7870,8480,8810,8910,8580,9570,10000,10400,10700,11300,11300,12100,12300,12200,13200,13300,13100,13500,13600,13700,13400,13200,13100,13200,13400,13300,13200,13500,13500,13600,13600,13000,11500,10900,10000,8870,8280,8450,8730,8720,9040,9950,11300,12400,13500,14700,16000,17500,18900,19300,19000,20100,21300,22000,23000,23600,23500,23400,23900,24200,24600,24900,25300,25700,26100,26600,27100,27700,28300,28900,29500,30200,30800,31500,32200,32900,33700,34400,35200,36000,36700,37600,Asia (Central)
89,Kyrgyz Republic,508,508,508,508,508,508,509,509,509,509,509,509,509,509,509,509,509,509,509,510,510,514,519,523,528,532,537,542,547,551,556,561,566,571,576,581,586,592,597,602,607,613,618,623,629,635,640,646,651,657,663,669,675,681,687,693,699,705,711,717,724,730,737,743,750,756,763,770,776,783,790,797,804,811,818,825,833,840,847,855,862,870,878,885,893,901,909,917,925,933,941,950,958,967,975,984,992,1000,1010,1020,1030,1040,1050,1060,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1170,1200,1220,1240,1260,1290,1310,1330,1360,1380,1410,1440,1460,1490,1520,1550,1580,1610,1640,1670,1700,1730,1760,1800,1830,1870,1900,1940,1970,2010,2050,2090,2130,2170,2210,2250,2290,2340,2380,2430,2480,2520,2570,2620,2680,2730,2780,2840,2890,2950,3010,3060,3120,3190,3250,3310,3380,3440,3510,3580,3570,3570,3560,3560,3550,3540,3540,3530,3520,3520,3510,3510,3500,3490,3490,3480,3480,3150,2680,2270,1810,1700,1790,1940,1950,1990,2080,2160,2140,2270,2400,2370,2420,2600,2790,2840,2790,2920,2870,3120,3180,3240,3290,3370,3490,3610,3720,3820,3930,4030,4130,4230,4330,4430,4530,4640,4740,4840,4950,5060,5170,5290,5400,5520,5650,5770,5900,Asia (Central)
112,Mongolia,592,592,592,592,592,593,593,593,593,593,593,593,593,593,593,593,593,594,594,594,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,640,641,642,643,644,645,646,647,648,649,650,652,653,654,655,656,657,658,659,660,661,663,664,665,666,667,668,669,670,672,673,674,675,676,677,678,680,681,682,683,684,685,686,688,689,690,691,692,693,695,696,697,698,699,700,702,703,708,713,718,723,728,733,738,743,748,753,759,764,769,774,779,784,789,795,800,805,810,816,821,826,831,837,842,847,853,858,886,919,950,984,1020,1050,1090,1130,1170,1210,1250,1290,1340,1380,1430,1480,1530,1580,1640,1700,1730,1750,1850,1890,1950,1980,2120,2170,2210,2500,2220,2590,2910,3260,3190,3360,3570,3690,3610,5120,4610,4130,3970,4020,4240,4300,4440,4540,4640,4660,4750,4920,5220,5700,6050,6480,7060,7580,7370,7710,8880,9790,10700,11300,11400,11300,11400,12100,12600,12800,13100,13400,13700,14000,14300,14600,15000,15300,15600,16000,16300,16700,17100,17400,17800,18200,18600,19000,19500,19900,Asia (Central)
119,Nepal,654,654,654,654,654,654,654,654,655,655,655,655,655,655,655,655,655,655,656,656,656,656,656,656,656,656,656,656,656,657,657,657,657,657,657,657,657,657,657,658,658,658,658,658,658,658,658,658,658,658,659,659,659,659,659,659,659,659,659,659,660,660,660,660,660,660,660,660,660,660,660,665,670,675,680,685,690,695,700,705,710,715,721,726,731,736,742,747,753,758,764,769,775,780,786,792,798,803,809,815,821,827,833,839,845,851,858,864,870,877,883,890,896,903,901,900,898,896,895,893,891,888,885,882,879,875,872,869,866,863,860,857,853,850,847,844,841,838,835,831,828,825,822,819,816,813,810,806,803,800,797,810,828,867,875,881,910,899,937,951,958,965,971,977,981,986,1030,998,984,1010,1010,978,985,957,993,983,1000,1000,1020,1020,965,939,1030,970,1040,1070,1080,1100,1150,1150,1200,1240,1260,1270,1340,1350,1390,1430,1440,1480,1540,1590,1560,1600,1650,1680,1720,1760,1850,1920,1990,2030,2100,2160,2270,2300,2290,2360,2420,2490,2560,2640,2720,2800,2880,2950,3020,3100,3170,3240,3310,3380,3460,3540,3610,3690,3780,3860,3940,4030,4120,Asia (Central)
